shorthand,full_form
gu,genitourinary
neb,Nebulizer
hr,heart rate
sos,as needed
sc,subcutaneous
msk,musculoskeletal
rx,prescription
stat,immediately
mg,milligram
c/o,complains of
w/o,without
mcg,microgram
qam,every morning
hr,heart rate
bp,blood pressure
cns,central nervous system
tab,Tablet
bg,blood glucose
sx,surgery
mcg,microgram
neb,Nebulizer
c/w,consistent with
po,by mouth
neb,Nebulizer
rs,respiratory system
ml,milliliter
hs,at bedtime
fx,fracture
sc,subcutaneous
hx,history
rx,prescription
stat,immediately
fev,fever
amox,Amoxicillin
sos,as needed
im,intramuscular
ac,before meals
amox,Amoxicillin
bid,twice daily
sx,surgery
qam,every morning
sc,subcutaneous
mg,milligram
tds,three times a day
mcg,microgram
od,once daily
sc,subcutaneous
tx,treatment
tds,three times a day
rx,prescription
mg,milligram
vitb12,Vitamin B12
bd,twice daily
ml,milliliter
qam,every morning
dx,diagnosis
tds,three times a day
bg,blood glucose
bid,twice daily
mcg,microgram
dx,diagnosis
met,Metformin
dolo,Dolo
qid,four times daily
sos,as needed
tid,three times daily
qid,four times daily
bp,blood pressure
mg,milligram
sx,surgery
sc,subcutaneous
pc,after meals
ibu,Ibuprofen
ppi,Proton Pump Inhibitor
cns,central nervous system
dx,diagnosis
qn,every night
cns,central nervous system
ibu,Ibuprofen
ac,before meals
dolo,Dolo
sos,as needed
bd,twice daily
bid,twice daily
gi,gastrointestinal
ibu,Ibuprofen
mcg,microgram
dx,diagnosis
cv,cardiovascular
hr,heart rate
iv,intravenous
dolo,Dolo
cns,central nervous system
ent,ear nose throat
rx,prescription
inj,Injection
bg,blood glucose
qid,four times daily
ml,milliliter
iv,intravenous
tx,treatment
rx,prescription
hr,heart rate
tds,three times a day
abd,abdomen
ac,before meals
c/o,complains of
bd,twice daily
abd,abdomen
ppi,Proton Pump Inhibitor
vitb12,Vitamin B12
sx,surgery
w/o,without
amox,Amoxicillin
stat,immediately
ml,milliliter
dx,diagnosis
ml,milliliter
tx,treatment
mg,milligram
sx,surgery
amox,Amoxicillin
h2o,water
abd,abdomen
tx,treatment
qn,every night
dolo,Dolo
hx,history
tid,three times daily
od,once daily
qn,every night
po,by mouth
fev,fever
tds,three times a day
rx,prescription
amox,Amoxicillin
iv,intravenous
dx,diagnosis
im,intramuscular
met,Metformin
od,once daily
neb,Nebulizer
fev,fever
stat,immediately
ml,milliliter
qam,every morning
hx,history
tab,Tablet
ac,before meals
mcg,microgram
ent,ear nose throat
cap,Capsule
im,intramuscular
qid,four times daily
bp,blood pressure
c/o,complains of
paracetml,Paracetamol
gu,genitourinary
ibu,Ibuprofen
qn,every night
tab,Tablet
im,intramuscular
stat,immediately
sx,surgery
pt,Paracetamol
tid,three times daily
hx,history
sc,subcutaneous
vitb12,Vitamin B12
bp,blood pressure
bd,twice daily
rx,prescription
sos,as needed
pt,Paracetamol
hs,at bedtime
gi,gastrointestinal
po,by mouth
tx,treatment
met,Metformin
iv,intravenous
ent,ear nose throat
hr,heart rate
ibu,Ibuprofen
tds,three times a day
iv,intravenous
ppi,Proton Pump Inhibitor
ibu,Ibuprofen
vitb12,Vitamin B12
dx,diagnosis
met,Metformin
rx,prescription
cap,Capsule
amox,Amoxicillin
pt,Paracetamol
abd,abdomen
qam,every morning
ppi,Proton Pump Inhibitor
gu,genitourinary
qn,every night
cv,cardiovascular
cns,central nervous system
abd,abdomen
bp,blood pressure
fx,fracture
sos,as needed
tds,three times a day
mcg,microgram
abd,abdomen
met,Metformin
dx,diagnosis
ppi,Proton Pump Inhibitor
met,Metformin
hx,history
tds,three times a day
pt,Paracetamol
sx,surgery
od,once daily
tid,three times daily
ac,before meals
ppi,Proton Pump Inhibitor
cns,central nervous system
inj,Injection
qn,every night
inj,Injection
iv,intravenous
pc,after meals
cns,central nervous system
gu,genitourinary
ibu,Ibuprofen
bg,blood glucose
c/o,complains of
vitb12,Vitamin B12
sc,subcutaneous
tds,three times a day
dx,diagnosis
bg,blood glucose
amox,Amoxicillin
mg,milligram
sx,surgery
im,intramuscular
cns,central nervous system
fev,fever
ml,milliliter
hs,at bedtime
bp,blood pressure
neb,Nebulizer
abd,abdomen
hr,heart rate
stat,immediately
sos,as needed
qn,every night
ac,before meals
hr,heart rate
ac,before meals
hx,history
bg,blood glucose
sc,subcutaneous
amox,Amoxicillin
c/o,complains of
h2o,water
met,Metformin
ml,milliliter
cv,cardiovascular
amox,Amoxicillin
dolo,Dolo
h2o,water
od,once daily
po,by mouth
rx,prescription
dx,diagnosis
pt,Paracetamol
bd,twice daily
h2o,water
hr,heart rate
od,once daily
bg,blood glucose
c/o,complains of
tds,three times a day
ac,before meals
dx,diagnosis
sos,as needed
cns,central nervous system
neb,Nebulizer
qn,every night
qid,four times daily
met,Metformin
tab,Tablet
c/w,consistent with
msk,musculoskeletal
po,by mouth
gu,genitourinary
gi,gastrointestinal
bid,twice daily
cns,central nervous system
cv,cardiovascular
qid,four times daily
rx,prescription
abd,abdomen
mg,milligram
neb,Nebulizer
bg,blood glucose
qam,every morning
bid,twice daily
od,once daily
bd,twice daily
c/w,consistent with
qam,every morning
gu,genitourinary
fx,fracture
ent,ear nose throat
hx,history
mg,milligram
fev,fever
ibu,Ibuprofen
cap,Capsule
mcg,microgram
po,by mouth
msk,musculoskeletal
cns,central nervous system
bd,twice daily
cap,Capsule
cv,cardiovascular
mg,milligram
stat,immediately
rs,respiratory system
sx,surgery
bp,blood pressure
bg,blood glucose
dolo,Dolo
inj,Injection
bd,twice daily
gu,genitourinary
od,once daily
po,by mouth
qam,every morning
ibu,Ibuprofen
tid,three times daily
rs,respiratory system
tds,three times a day
ml,milliliter
ibu,Ibuprofen
bd,twice daily
vitb12,Vitamin B12
po,by mouth
ibu,Ibuprofen
sc,subcutaneous
sx,surgery
gi,gastrointestinal
vitb12,Vitamin B12
bp,blood pressure
msk,musculoskeletal
gu,genitourinary
im,intramuscular
stat,immediately
sx,surgery
gu,genitourinary
c/w,consistent with
inj,Injection
mcg,microgram
hr,heart rate
im,intramuscular
ac,before meals
im,intramuscular
bid,twice daily
met,Metformin
amox,Amoxicillin
tid,three times daily
ibu,Ibuprofen
bp,blood pressure
tds,three times a day
im,intramuscular
qid,four times daily
dx,diagnosis
h2o,water
hs,at bedtime
sos,as needed
fx,fracture
neb,Nebulizer
dx,diagnosis
gi,gastrointestinal
qid,four times daily
ent,ear nose throat
im,intramuscular
w/o,without
amox,Amoxicillin
bid,twice daily
rx,prescription
cns,central nervous system
met,Metformin
h2o,water
sx,surgery
stat,immediately
c/w,consistent with
cap,Capsule
tx,treatment
h2o,water
qid,four times daily
tab,Tablet
hs,at bedtime
bd,twice daily
pt,Paracetamol
hs,at bedtime
iv,intravenous
sx,surgery
bp,blood pressure
stat,immediately
msk,musculoskeletal
hs,at bedtime
pt,Paracetamol
iv,intravenous
stat,immediately
rx,prescription
cns,central nervous system
fev,fever
qn,every night
gi,gastrointestinal
cv,cardiovascular
met,Metformin
ent,ear nose throat
po,by mouth
amox,Amoxicillin
mg,milligram
met,Metformin
hx,history
vitb12,Vitamin B12
