shorthand,full_form
gu,genitourinary
genioturinary,genitourinary
geniturinary,genitourinary
genituorinary,genitourinary
genitourinar,genitourinary
geni,genitourinary
genitoruinary,genitourinary
genitourianry,genitourinary
geitourinary,genitourinary
gey,genitourinary
geintourinary,genitourinary
neb,nebulizer
nebuliezr,nebulizer
nebuilzer,nebulizer
nebulizre,nebulizer
nebluizer,nebulizer
nebul,nebulizer
nebulzer,nebulizer
nebulizr,nebulizer
neublizer,nebulizer
enbulizer,nebulizer
hr,heart rate
heatr rate,heart rate
heart raet,heart rate
heart rte,heart rate
heart,heart rate
heart rat,heart rate
ehart rate,heart rate
hert rate,heart rate
hear trate,heart rate
hea,heart rate
heartrate,heart rate
sos,as needed
as neded,as needed
as neede,as needed
as eneded,as needed
asn eeded,as needed
as n,as needed
as nedeed,as needed
as neeed,as needed
a sneeded,as needed
asd,as needed
as ne,as needed
sc,subcutaneous
sucutaneous,subcutaneous
sbucutaneous,subcutaneous
subuctaneous,subcutaneous
subcu,subcutaneous
subcutaneuos,subcutaneous
subcutaeous,subcutaneous
subctuaneous,subcutaneous
subc,subcutaneous
subcutaneou,subcutaneous
sbcutaneous,subcutaneous
msk,musculoskeletal
musculoskeletl,musculoskeletal
musculoskelteal,musculoskeletal
muculoskeletal,musculoskeletal
musculosekletal,musculoskeletal
msuculoskeletal,musculoskeletal
musucloskeletal,musculoskeletal
musculoskeleal,musculoskeletal
musculoskeleta,musculoskeletal
musculoskeltal,musculoskeletal
musculoskletal,musculoskeletal
rx,prescription
presciption,prescription
rescription,prescription
presrciption,prescription
prescriptio,prescription
rpescription,prescription
precsription,prescription
pre,prescription
prescriptin,prescription
prscrptn,prescription
prscription,prescription
stat,immediately
immedately,immediately
immediateyl,immediately
immediatly,immediately
immeditaely,immediately
immediaely,immediately
mimediately,immediately
immeidately,immediately
immediatel,immediately
mmediately,immediately
immedaitely,immediately
mg,milligram
mlligram,milligram
milligra,milligram
milligam,milligram
mililgram,milligram
milli,milligram
milligrm,milligram
millgiram,milligram
mill,milligram
milliram,milligram
mliligram,milligram
c/o,complains of
complains f,complains of
coplains of,complains of
compains of,complains of
omplains of,complains of
cmoplains of,complains of
compl,complains of
complins of,complains of
complans of,complains of
complain of,complains of
comlains of,complains of
w/o,without
wit,without
iwthout,without
wtht,without
witohut,without
witho,without
withou,without
wtihout,without
ithout,without
wthout,without
witout,without
mcg,microgram
mirogram,microgram
imcrogram,microgram
microram,microgram
mcrogram,microgram
icrogram,microgram
mircogram,microgram
microgrma,microgram
micrgram,microgram
microgam,microgram
micro,microgram
evry,every 
eveyr morning,every morning
vry mrnng,every morning
every morn,every morning
ever,every morning
everym orning,every morning
every mroning,every morning
every orning,every morning
every mornig,every morning
evrey morning,every morning
eery morning,every morning
bp,blood pressure
blodo pressure,blood pressure
blood prsesure,blood pressure
blod pressure,blood pressure
blood pressur,blood pressure
bloodp ressure,blood pressure
blood pressrue,blood pressure
bloo,blood pressure
blood pressuer,blood pressure
bood pressure,blood pressure
blood pressue,blood pressure
cns,central nervous system
centrl nervous system,central nervous system
centra nervous system,central nervous system
central nervous syste,central nervous system
cenral nervous system,central nervous system
central nervouss ystem,central nervous system
central nervous sysem,central nervous system
cetral nervous system,central nervous system
central nervous systm,central nervous system
cnetral nervous system,central nervous system
central nervou system,central nervous system
tab,tablet
talet,tablet
tabelt,tablet
tabet,tablet
tabl,tablet
tablte,tablet
table,tablet
talbet,tablet
tblet,tablet
tablt,tablet
bg,blood glucose
blood lgucose,blood glucose
blood glucos,blood glucose
lbood glucose,blood glucose
blodo glucose,blood glucose
bolod glucose,blood glucose
blood gluocse,blood glucose
blood gulcose,blood glucose
bood glucose,blood glucose
bloo,blood glucose
blod glucose,blood glucose
sx,surgery
suregry,surgery
sugery,surgery
surger,surgery
surgrey,surgery
srgery,surgery
suy,surgery
surgeyr,surgery
surgey,surgery
surg,surgery
srgry,surgery
c/w,consistent with
consistent wih,consistent with
consistnet with,consistent with
consistnt with,consistent with
consisent with,consistent with
consistent wiht,consistent with
conistent with,consistent with
cnsistent with,consistent with
consisetnt with,consistent with
conisstent with,consistent with
ocnsistent with,consistent with
po,by mouth
by mouht,by mouth
bym outh,by mouth
by mout,by mouth
byh,by mouth
by mth,by mouth
by moth,by mouth
bymouth,by mouth
by omuth,by mouth
by mouh,by mouth
by muth,by mouth
rs,respiratory system
rsepiratory system,respiratory system
respiratorys ystem,respiratory system
respiratory ssytem,respiratory system
respiratory systme,respiratory system
repsiratory system,respiratory system
resiratory system,respiratory system
respriatory system,respiratory system
repiratory system,respiratory system
respiraory system,respiratory system
respiratory sysetm,respiratory system
ml,milliliter
mlliliter,milliliter
millilier,milliliter
millilietr,milliliter
imlliliter,milliliter
illiliter,milliliter
milliiter,milliliter
mililiter,milliliter
millilitr,milliliter
mir,milliliter
milliltier,milliliter
hs,at bedtime
at bdetime,at bedtime
a bedtime,at bedtime
at bedtme,at bedtime
t bedtime,at bedtime
at ebdtime,at bedtime
at ,at bedtime
at bedtmie,at bedtime
ta bedtime,at bedtime
at betime,at bedtime
at edtime,at bedtime
fx,fracture
fractur,fracture
rfacture,fracture
frac,fracture
frctr,fracture
facture,fracture
frature,fracture
fracure,fracture
frcture,fracture
fra,fracture
frcature,fracture
hx,history
hstory,history
histry,history
hstry,history
histroy,history
hitory,history
histor,history
histo,history
histoy,history
ihstory,history
histoyr,history
fev,fever
fer,fever
fveer,fever
fevr,fever
feve,fever
fver,fever
feevr,fever
fvr,fever
ever,fever
efver,fever
amox,amoxicillin
amoxciillin,amoxicillin
maoxicillin,amoxicillin
amoxiillin,amoxicillin
amoxicililn,amoxicillin
amoxicllin,amoxicillin
amxicillin,amoxicillin
mxclln,amoxicillin
amoxicilli,amoxicillin
aomxicillin,amoxicillin
amn,amoxicillin
im,intramuscular
intramsucular,intramuscular
intramusuclar,intramuscular
int,intramuscular
intrmuscular,intramuscular
intrmauscular,intramuscular
intra,intramuscular
intramusular,intramuscular
ntrmsclr,intramuscular
intramuscluar,intramuscular
intarmuscular,intramuscular
ac,before meals
bes,before meals
befoe meals,before meals
befre meals,before meals
bfr mls,before meals
befor meals,before meals
before maels,before meals
bfeore meals,before meals
bef,before meals
beore meals,before meals
ebfore meals,before meals
bid,twice daily
twice daliy,twice daily
twic edaily,twice daily
twie daily,twice daily
twi,twice daily
twice adily,twice daily
twice daiy,twice daily
twiec daily,twice daily
twice dail,twice daily
twc dly,twice daily
tiwce daily,twice daily
tds,three times a day
thy,three times a day
threetimes a day,three times a day
three timesa  day,three times a day
hree times a day,three times a day
three ties a day,three times a day
tree times a day,three times a day
thr tms  dy,three times a day
thre times a day,three times a day
three timse a day,three times a day
three tmies a day,three times a day
od,once daily
once aily,once daily
ocne daily,once daily
onec daily,once daily
onced aily,once daily
once daly,once daily
nce daily,once daily
oce daily,once daily
once dail,once daily
ony,once daily
once dialy,once daily
tx,treatment
treatent,treatment
trt,treatment
traetment,treatment
reatment,treatment
treatmnt,treatment
rteatment,treatment
treatmnet,treatment
treatmen,treatment
treamtent,treatment
treament,treatment
vitb12,vitamin b12
vitamn b12,vitamin b12
itamin b12,vitamin b12
vitamni b12,vitamin b12
viatmin b12,vitamin b12
vitamin b21,vitamin b12
vitaimn b12,vitamin b12
vitain b12,vitamin b12
vitaminb 12,vitamin b12
vitam,vitamin b12
vitaminb12,vitamin b12
bd,twice daily
dx,diagnosis
dgnss,diagnosis
diagosis,diagnosis
idagnosis,diagnosis
diag,diagnosis
dignosis,diagnosis
iagnosis,diagnosis
diagnois,diagnosis
dagnosis,diagnosis
diagn,diagnosis
diagonsis,diagnosis
met,metformin
metfrmin,metformin
metfomrin,metformin
metformi,metformin
metofrmin,metformin
mtformin,metformin
men,metformin
metfomin,metformin
metforin,metformin
metfromin,metformin
metfo,metformin
dolo,dolo
dool,dolo
dloo,dolo
odlo,dolo
dlo,dolo
olo,dolo
doo,dolo
dol,dolo
dl,dolo
qid,four times daily
four timesdaily,four times daily
fr tms dly,four times daily
four timesd aily,four times daily
four times adily,four times daily
four tmes daily,four times daily
four,four times daily
four times dail,four times daily
four times aily,four times daily
four times daiy,four times daily
our times daily,four times daily
tid,three times daily
thy,three times daily
three tmes daily,three times daily
three times daly,three times daily
three ties daily,three times daily
three itmes daily,three times daily
threet imes daily,three times daily
thr tms dly,three times daily
three timse daily,three times daily
three times dily,three times daily
three times daliy,three times daily
aftr ,after 
aftre ,after 
ater ,after 
afte ,after 
after,after 
after ,after 
aft,after 
afte meals,after meals
fter meals,after meals
atfer meals,after meals
after,after 
ibu,ibuprofen
ibuproen,ibuprofen
ibn,ibuprofen
ibupr,ibuprofen
ibuprfoen,ibuprofen
ibuporfen,ibuprofen
ibup,ibuprofen
biuprofen,ibuprofen
bprfn,ibuprofen
ibuprofne,ibuprofen
iuprofen,ibuprofen
ppi,proton pump inhibitor
proton pump inibitor,proton pump inhibitor
proton pump inhibtor,proton pump inhibitor
proton pump inhiibtor,proton pump inhibitor
prtoon pump inhibitor,proton pump inhibitor
proton pump inhbitor,proton pump inhibitor
proton pump nihibitor,proton pump inhibitor
proton pump nhibitor,proton pump inhibitor
proto,proton pump inhibitor
proto pump inhibitor,proton pump inhibitor
proton pump inhibitr,proton pump inhibitor
qn,every night
vry nght,every night
every ight,every night
ever ynight,every night
eveyr night,every night
eery night,every night
evrey night,every night
